Driver,Nationality,Seasons,Championships,Race_Entries,Race_Starts,Pole_Positions,Race_Wins,Podiums,Fastest_Laps,Points,Active,Championship Years,Decade,Pole_Rate,Start_Rate,Win_Rate,Podium_Rate,FastLap_Rate,Points_Per_Entry,Years_Active,Champion,Championship_Experience,Wins_Per_Season,Podiums_Per_Season,Points_Per_Season,Win_Efficiency,Podium_Efficiency,Pole_Conversion,Nationality_Encoded
Carlo Abate,Italy,"[1962, 1963]",0.0,-0.5007901490232184,0.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,1960,0.0,0.0,0.0,0.0,0.0,0.0,-0.4756767370934792,0,Non-Champion,0.0,0.0,0.0,,,0.0,21
George Abecassis,United Kingdom,"[1951, 1952]",0.0,-0.5193950903582703,2.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,1950,0.0,1.0,0.0,0.0,0.0,0.0,-0.4756767370934792,0,Non-Champion,0.0,0.0,0.0,0.0,0.0,0.0,42
Kenny Acheson,United Kingdom,"[1983, 1985]",0.0,-0.37055555967785475,3.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,1980,0.0,0.3,0.0,0.0,0.0,0.0,-0.4756767370934792,0,Non-Champion,0.0,0.0,0.0,0.0,0.0,0.0,42
Andrea de Adamich,Italy,"[1968, 1970, 1971, 1972, 1973]",0.0,0.1131729150334957,30.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.1875341521075229,0,,1970,0.0,0.8333333333333334,0.0,0.0,0.0,0.1666666666666666,0.3815289538348389,0,Non-Champion,0.0,0.0,1.2,0.0,0.0,0.0,21
Philippe Adams,Belgium,[1994],0.0,-0.5193950903582703,2.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,1990,0.0,1.0,0.0,0.0,0.0,0.0,-0.7614119674029185,0,Non-Champion,0.0,0.0,0.0,0.0,0.0,0.0,3
Walt Ader,United States,[1950],0.0,-0.5380000316933222,1.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,1950,0.0,1.0,0.0,0.0,0.0,0.0,-0.7614119674029185,0,Non-Champion,0.0,0.0,0.0,0.0,0.0,0.0,43
Kurt Adolff,West Germany,[1953],0.0,-0.5380000316933222,1.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,1950,0.0,1.0,0.0,0.0,0.0,0.0,-0.7614119674029185,0,Non-Champion,0.0,0.0,0.0,0.0,0.0,0.0,46
Fred Agabashian,United States,"[1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957]",0.0,-0.3891605010129067,8.0,1.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.20446319626263193,0,,1950,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.1666666666666666,1.2387346447631569,0,Non-Champion,0.0,0.0,0.19,0.0,0.0,0.0,43
Kurt Ahrens Jr.,West Germany,"[1966, 1967, 1968, 1969]",0.0,-0.4821852076881664,4.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,1970,0.0,1.0,0.0,0.0,0.0,0.0,0.09579372352539954,0,Non-Champion,0.0,0.0,0.0,0.0,0.0,0.0,46
Jack Aitken,United Kingdom,[2020],0.0,-0.5380000316933222,1.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,2020,0.0,1.0,0.0,0.0,0.0,0.0,-0.7614119674029185,0,Non-Champion,0.0,0.0,0.0,0.0,0.0,0.0,42
